name,project_link,owner,address,area,sell_date,progress,price,scale,latlong,page_number
"
Saigon Asiana
",https://batdongsan.com.vn/can-ho-chung-cu-quan-6/saigon-asiana-pj4380,Công ty TNHH Gotec Việt Nam,"336/20 Đường Nguyễn Văn Luông, Phường 12, Quận 6, Hồ Chí Minh",4.017 m²,Quý III/2021,"
Đang thi công
",37 triệu/m²,"16 tầng, 299 căn hộ","10.7493057250977,106.635383605957",can-ho-chung-cu
"
The Landmark 81 - Vinhomes Central Park
",https://batdongsan.com.vn/can-ho-chung-cu-binh-thanh/the-landmark-81-vinhomes-central-park-pj4343,Tập đoàn Vingroup,"Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh",141.200 m²,,"
Đã hoàn thành
",,"3 tầng hầm, 81 tầng nổi","10.7991323471069,106.719665527344",can-ho-chung-cu
"
Ascent Garden Homes
",https://batdongsan.com.vn/can-ho-chung-cu-quan-7/ascent-garden-homes-pj4340,Công ty CP Đầu tư Địa ốc Tiến Phát ,"Đường Bến Nghé, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh",10.076 m²,Quý 4/2020,"
Đang thi công
",38 triệu/m²,600 căn hộ,"10.7629270553589,106.738227844238",can-ho-chung-cu
"
Đông Bắc Tower
",https://batdongsan.com.vn/can-ho-chung-cu-thanh-hoa-th/dong-bac-tower-pj4328,,"Đường Trường Thi, Phường Trường Thi, Thanh Hóa, Thanh Hóa",3.997 m²,,"
Đang thi công
",10 triệu/m²,281 căn và 8 lô liền kề,"19.8150997161865,105.781814575195",can-ho-chung-cu
"
C SkyView
",https://batdongsan.com.vn/can-ho-chung-cu-thu-dau-mot-bd/c-skyview-pj4325,,"Đường Trần Phú, Phường Chánh Nghĩa, Thủ Dầu Một, Bình Dương",8.600 m²,,"
Đang thi công
",,1.166 căn hộ,"10.9737367630005,106.665023803711",can-ho-chung-cu
"
Bcons Garden
",https://batdongsan.com.vn/can-ho-chung-cu-di-an-bd/bcons-garden-pj4336,,"65 Đường Phạm Hữu Lầu, Phường Dĩ An, Dĩ An, Bình Dương",16.669 m²,,"
Đang thi công
",,1.834 căn hộ,"10.9047269821167,106.75171661377",can-ho-chung-cu
"
Dabaco Lý Thái Tổ
",https://batdongsan.com.vn/can-ho-chung-cu-bac-ninh-bn/dabaco-ly-thai-to-pj4331,Công ty CP Tập đoàn Dabaco Việt Nam,"Đường Lý Thái Tổ, Phường Võ Cường, Bắc Ninh, Bắc Ninh",6.025 m²,Quý 3/2019,"
Đang thi công
",,288 căn,"21.168041229248,106.055198669434",can-ho-chung-cu
"
Charm City
",https://batdongsan.com.vn/can-ho-chung-cu-di-an-bd/charm-city-pj4345,Công ty TNHH DCT Partner Việt Nam,"Đường ĐT 743C, Dĩ An, Bình Dương",50.070 m²,,"
Đang thi công
",,2.047 căn hộ,"10.8987321853638,106.740768432617",can-ho-chung-cu
"
Central Officetel
",https://batdongsan.com.vn/can-ho-chung-cu-phu-nhuan/central-officetel-pj4344,,"45 Đường Bùi Văn Thêm, Phường 9, Phú Nhuận, Hồ Chí Minh",1.558 m²,Quý 1/2021,"
Đang thi công
",,180 căn officetel,"10.8075294494629,106.678100585938",can-ho-chung-cu
"
Biconsi Tower
",https://batdongsan.com.vn/can-ho-chung-cu-thu-dau-mot-bd/biconsi-tower-pj4368,Công ty CP Xây dựng Tư vấn Đầu tư Bình Dương (BICONSI),"1 Đường Phú Lợi, Phường Phú Lợi, Thủ Dầu Một, Bình Dương",7.985 m²,,"
Đang thi công
",,21 tầng,"10.9879360198975,106.692672729492",can-ho-chung-cu
